,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
93,-0.0175,0.01875,-0.01375,-0.08625,0.03625,-0.02,0.03625,0.06375,-0.05125,0.12
94,-0.045,0.0275,-0.065,-0.08125,0.03625,-0.03,0.04875,0.11625,-0.085,0.075
95,-0.03625,0.0425,-0.1025,-0.075,0.0375,-0.0175,0.07875,0.14375,-0.08125,0.04625
96,0.01375,0.0175,-0.035,-0.03375,-0.0025,-0.0175,0.05125,0.07,-0.12,0.08125
97,-0.01125,-0.025,-0.045,-0.04375,0.04,-0.0625,0.05125,0.04375,-0.09375,0.0925
98,-0.00625,0.02625,0.0225,-0.0925,0.04125,-0.01,0.02,0.0,-0.1,0.03875
99,0.0575,0.02375,0.0625,-0.09,0.03875,-0.02375,0.01875,0.0325,-0.125,0.05625
100,0.04125,-0.005,0.0025,-0.13375,0.0225,-0.05,-0.0125,-0.0125,-0.085,0.05625
101,0.02375,0.01875,0.02125,-0.13125,0.02375,-0.03125,-0.04375,0.03,-0.03875,0.03625
102,-0.03625,0.06125,0.03875,-0.115,0.00375,0.0175,-0.05,0.0225,-0.07625,0.015
103,-0.03125,0.0875,-0.0525,-0.0975,-0.06875,0.0275,-0.02875,-0.04,-0.075,0.02625
104,0.00375,0.03875,-0.03625,-0.07875,-0.07,0.03625,-0.02125,0.00375,-0.0275,0.045
105,-0.04125,0.025,-0.0425,-0.07,-0.03375,-0.01125,-0.04625,0.0,0.00625,0.0875
106,-0.0375,0.02,-0.04375,-0.09625,0.01625,-0.05875,-0.0975,0.0475,0.06375,0.09375
107,-0.01625,-0.03375,-0.08125,-0.0175,0.0025,-0.0725,-0.1325,0.0225,0.0175,0.12
108,-0.02375,-0.0375,-0.125,0.0025,0.02375,-0.04875,-0.1025,0.01125,0.03875,0.13125
109,-0.07875,-0.03875,-0.1025,-0.03,-0.04625,-0.05,-0.16375,0.00625,0.0325,0.155
110,-0.07625,-0.02625,-0.12,-0.0725,-0.05125,-0.07875,-0.135,-0.03875,0.03125,0.07
111,-0.06875,-0.04125,-0.11125,-0.0625,-0.04,-0.075,-0.13125,-0.0725,0.06375,0.115
112,-0.03,-0.01125,-0.05875,-0.0425,0.045,-0.0725,-0.20875,-0.05125,0.06375,0.0375
113,-0.0625,-0.0025,-0.08,-0.04625,0.055,-0.0525,-0.15125,-0.0975,0.06,0.02625
114,-0.0525,0.02,-0.065,-0.06375,0.055,-0.04375,-0.1375,-0.0975,0.0025,0.0625
115,-0.0075,0.05125,-0.07125,-0.085,0.02375,-0.02875,-0.14875,-0.10125,0.12,0.03625
116,-0.0375,0.005,-0.04625,-0.08875,0.0225,-0.02375,-0.14875,-0.06625,0.09875,0.025
117,0.01,0.0175,-0.07125,-0.0275,0.03375,0.0375,-0.1525,-0.06,0.0775,0.03125
118,-0.005,0.0325,-0.07875,0.0075,0.05125,0.00375,-0.10125,-0.02375,0.035,0.0125
119,0.00375,0.02375,-0.05,0.00125,0.03,0.03875,-0.045,-0.035,0.035,-0.06625
120,-0.0025,-0.00375,-0.04625,0.01875,-0.0075,0.08375,-0.055,-0.02,0.02625,-0.075
121,-0.01,-0.0025,-0.02,0.04625,-0.04125,0.04125,-0.09375,-0.035,0.02375,-0.06625
122,-0.0475,-0.0225,0.01125,0.02625,-0.0425,-0.00375,-0.06875,-0.13,0.105,-0.03625
123,-0.0125,-0.06,-0.02375,0.11625,-0.03375,-0.01375,-0.02625,-0.13,0.0575,-0.05125
124,-0.005,-0.03625,-0.05,0.11625,-0.05875,0.015,-0.00625,-0.10375,0.03,-0.00125
125,-0.00625,-0.05125,-0.03875,0.1075,-0.12875,0.025,-0.00875,-0.1,0.0175,0.025
126,0.03375,-0.0525,-0.07375,0.08125,-0.21125,-0.00375,0.01,-0.09375,-0.0175,-0.0375
127,0.10125,-0.01375,-0.11625,0.085,-0.0975,0.04625,0.065,-0.04625,-0.01875,-0.04
128,0.115,0.005,-0.08625,0.05875,-0.135,0.015,0.06,-0.0375,-0.06375,-0.05125
129,0.07125,0.03,-0.055,0.05875,-0.08875,0.0125,-0.01125,-0.045,-0.0775,-0.0775
130,0.0525,-0.02375,-0.04625,0.0475,-0.0675,0.0225,0.00875,0.01375,-0.0475,-0.04
131,0.05,-0.03125,-0.08625,0.0725,-0.07375,0.0225,0.01625,0.04875,-0.0275,0.02
132,0.02875,-0.00625,-0.03,0.08,-0.03375,0.025,0.01875,0.07125,0.00375,-0.02125
133,-0.015,-0.04875,-0.02875,0.03125,0.00125,0.01625,0.05,0.0075,0.01125,0.0125
134,0.06375,-0.005,-0.00375,-0.0475,-0.02,0.0025,0.0775,0.02375,0.025,-0.0375
135,0.03,0.0125,0.02375,-0.0825,-0.02875,-0.00625,0.06625,0.01625,0.03125,-0.02875
136,0.00125,0.05625,0.04,-0.03625,-0.00625,0.025,0.045,0.005,-0.00875,-0.01875
137,-0.0325,0.04125,0.08125,-0.055,-0.03875,0.005,0.02875,0.05625,-0.0225,0.06875
138,-0.025,0.05125,0.06375,-0.09,0.005,-0.0225,0.055,0.04375,-0.045,0.07875
139,-0.07875,0.08125,0.06875,-0.0675,-0.06375,-0.00375,0.035,0.0125,0.02,0.06875
140,-0.0675,0.0475,0.05625,-0.1125,-0.035,0.03625,-0.02,0.02,0.0525,0.065
