,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
148,0.4675,0.9425,0.12125,0.72375,-0.92875,1.0,-0.38,-0.62375,-0.62125,-0.105
149,0.47375,0.94,0.1225,0.73125,-0.92375,1.0,-0.3775,-0.62375,-0.62,-0.1025
150,0.47875,0.9425,0.12375,0.745,-0.92375,1.0,-0.38,-0.6175,-0.6175,-0.0925
151,0.4875,0.95875,0.11875,0.75,-0.92625,1.0,-0.39125,-0.6275,-0.6275,-0.08125
152,0.49375,0.965,0.11875,0.75,-0.92875,1.0,-0.39875,-0.63125,-0.64375,-0.07375
153,0.4975,0.9725,0.12625,0.7475,-0.94125,1.0,-0.40375,-0.64375,-0.63875,-0.07125
154,0.51875,0.97375,0.12,0.7475,-0.9525,1.0,-0.41625,-0.65,-0.64,-0.0875
155,0.52375,0.98375,0.10875,0.735,-0.965,0.99875,-0.425,-0.645,-0.64875,-0.095
156,0.53,0.9925,0.105,0.73375,-0.9725,0.99875,-0.4275,-0.6475,-0.65875,-0.10125
157,0.5225,0.9925,0.1125,0.7225,-0.98375,0.99875,-0.43625,-0.65375,-0.6725,-0.09
158,0.52875,0.99375,0.11875,0.7125,-0.98625,1.0,-0.44625,-0.6575,-0.67875,-0.10125
159,0.5025,0.99625,0.095,0.72,-0.99125,1.0,-0.45125,-0.6525,-0.67125,-0.09375
160,0.52125,0.99625,0.11125,0.725,-0.9975,1.0,-0.43625,-0.65625,-0.6775,-0.09
161,0.5275,1.0,0.11,0.72875,-0.99875,1.0,-0.4525,-0.6475,-0.67375,-0.07875
162,0.53125,1.0,0.10875,0.735,-0.99875,1.0,-0.4775,-0.645,-0.67625,-0.08
163,0.525,1.0,0.12375,0.7325,-1.0,1.0,-0.48625,-0.655,-0.685,-0.085
164,0.5425,0.9975,0.1225,0.72625,-1.0,1.0,-0.4975,-0.675,-0.69875,-0.08
165,0.55,1.0,0.11875,0.73,-0.99875,1.0,-0.52125,-0.66875,-0.695,-0.07
166,0.56125,1.0,0.11375,0.7375,-1.0,1.0,-0.50625,-0.68125,-0.70125,-0.0625
167,0.57,1.0,0.11375,0.73125,-1.0,1.0,-0.51,-0.69875,-0.695,-0.06125
168,0.58875,1.0,0.10625,0.73375,-0.9975,0.99875,-0.49375,-0.69,-0.7,-0.07125
169,0.59125,1.0,0.10625,0.7375,-0.99875,0.99875,-0.49625,-0.69625,-0.7,-0.0725
170,0.5925,0.99875,0.10875,0.745,-1.0,1.0,-0.4925,-0.70375,-0.70625,-0.06625
171,0.57875,0.9975,0.10625,0.74,-0.99875,1.0,-0.50625,-0.7025,-0.71625,-0.06375
172,0.5875,0.99875,0.105,0.73375,-0.99875,1.0,-0.52125,-0.71125,-0.71625,-0.0625
173,0.585,0.9975,0.095,0.73125,-0.99875,1.0,-0.5375,-0.6875,-0.73125,-0.0675
174,0.585,0.9975,0.10875,0.75375,-0.99875,1.0,-0.5375,-0.69,-0.74125,-0.065
175,0.58125,0.99875,0.10125,0.75,-1.0,0.99875,-0.53875,-0.6875,-0.7375,-0.06625
176,0.5875,0.99875,0.105,0.76625,-1.0,1.0,-0.53125,-0.68375,-0.7425,-0.07375
177,0.57,1.0,0.1075,0.77625,-1.0,0.99875,-0.54875,-0.685,-0.7475,-0.06375
178,0.59375,1.0,0.095,0.78125,-1.0,0.99875,-0.55,-0.695,-0.75375,-0.07375
179,0.59125,1.0,0.0925,0.78625,-0.99875,1.0,-0.56375,-0.7125,-0.76375,-0.0775
180,0.59125,1.0,0.10375,0.79125,-1.0,1.0,-0.5775,-0.72,-0.76125,-0.08
181,0.58625,1.0,0.10375,0.79875,-1.0,1.0,-0.595,-0.715,-0.75875,-0.08375
182,0.5875,0.99875,0.0975,0.8025,-1.0,0.99875,-0.605,-0.715,-0.75625,-0.07375
183,0.58125,0.99875,0.08125,0.7925,-1.0,0.99875,-0.61875,-0.715,-0.76375,-0.06875
